Date,pago_r,pagorn_ny,pexp_r,ptrd_r,pago5_r,pexp5_r,ptrd5_r,inex_med,inex_r,rinc_r,pinc2_mean,pinc_mean,pjob_mean,Group,Age
1/1/1978,130,39,144,146,,,,,,93,,,,a1834,a1834
1/1/1978,105,19,117,113,,,,,,60,,,,a3554,a3554
1/1/1978,89,-5,94,89,,,,,,59,,,,a5597,a5597
2/1/1978,133,35,143,149,,,,9,164,97,,,,a1834,a1834
2/1/1978,111,19,106,114,,,,5,148,77,,,,a3554,a3554
2/1/1978,86,-1,92,89,,,,0,120,64,,,,a5597,a5597
3/1/1978,132,36,139,149,,,,,,78,,,,a1834,a1834
3/1/1978,89,12,101,98,,,,,,61,,,,a3554,a3554
3/1/1978,82,-5,84,78,,,,,,52,,,,a5597,a5597
4/1/1978,126,30,144,143,,,,,,87,,,,a1834,a1834
4/1/1978,99,17,108,105,,,,,,66,,,,a3554,a3554
4/1/1978,87,3,84,86,,,,,,53,,,,a5597,a5597
5/1/1978,139,38,140,150,,,,9.6,177,92,,,,a1834,a1834
5/1/1978,97,16,112,108,,,,5.2,160,69,,,,a3554,a3554
5/1/1978,81,-7,84,75,,,,0,134,49,,,,a5597,a5597
6/1/1978,140,41,133,146,,,,,,86,,,,a1834,a1834
6/1/1978,100,23,93,95,,,,,,66,,,,a3554,a3554
6/1/1978,81,-1,76,72,,,,,,47,,,,a5597,a5597
7/1/1978,129,42,139,145,,,,,,77,,,,a1834,a1834
7/1/1978,104,23,106,110,,,,,,60,,,,a3554,a3554
7/1/1978,92,5,89,92,,,,,,51,,,,a5597,a5597
8/1/1978,125,35,134,141,,,,9.5,168,85,,,,a1834,a1834
8/1/1978,100,27,109,109,,,,5.3,160,68,,,,a3554,a3554
8/1/1978,78,5,93,80,,,,0,130,57,,,,a5597,a5597
9/1/1978,138,46,133,144,,,,,,81,,,,a1834,a1834
9/1/1978,110,30,111,110,,,,,,64,,,,a3554,a3554
9/1/1978,82,-3,86,81,,,,,,44,,,,a5597,a5597
10/1/1978,129,46,133,144,,,,,,77,,,,a1834,a1834
10/1/1978,83,25,100,86,,,,,,59,,,,a3554,a3554
10/1/1978,77,7,81,74,,,,,,47,,,,a5597,a5597
11/1/1978,132,35,133,140,,,,7.5,168,80,,,,a1834,a1834
11/1/1978,103,18,102,106,,,,5,153,69,,,,a3554,a3554
11/1/1978,83,-4,81,77,,,,0,119,51,,,,a5597,a5597
12/1/1978,113,34,123,125,,,,,,72,,,,a1834,a1834
12/1/1978,87,18,92,87,,,,,,56,,,,a3554,a3554
12/1/1978,86,5,78,85,,,,,,66,,,,a5597,a5597
1/1/1979,131,38,131,141,,,,,,76,,,,a1834,a1834
1/1/1979,100,30,105,103,,,,,,54,,,,a3554,a3554
1/1/1979,74,-2,66,67,,,,,,45,,,,a5597,a5597
2/1/1979,121,31,120,126,134,137,139,7.2,171,77,,,,a1834,a1834
2/1/1979,99,17,101,102,120,124,128,5.9,162,58,,,,a3554,a3554
2/1/1979,80,0,79,75,103,92,102,0,127,52,,,,a5597,a5597
3/1/1979,125,36,134,133,,,,,,68,,,,a1834,a1834
3/1/1979,83,21,90,79,,,,,,58,,,,a3554,a3554
3/1/1979,81,8,76,74,,,,,,45,,,,a5597,a5597
4/1/1979,107,34,115,111,,,,,,63,,,,a1834,a1834
4/1/1979,83,24,86,85,,,,,,58,,,,a3554,a3554
4/1/1979,66,1,65,57,,,,,,38,,,,a5597,a5597
5/1/1979,114,33,120,124,,,,9.7,173,83,,,,a1834,a1834
5/1/1979,86,20,86,86,,,,6.7,154,59,,,,a3554,a3554
5/1/1979,72,2,79,71,,,,0,130,51,,,,a5597,a5597
6/1/1979,116,36,117,125,,,,,,70,,,,a1834,a1834
6/1/1979,81,25,86,82,,,,,,45,,,,a3554,a3554
6/1/1979,83,9,75,76,,,,,,54,,,,a5597,a5597
7/1/1979,115,37,115,122,137,146,147,,,78,,,,a1834,a1834
7/1/1979,88,24,91,84,118,115,117,,,54,,,,a3554,a3554
7/1/1979,70,2,75,65,90,75,79,,,41,,,,a5597,a5597
8/1/1979,122,35,118,126,142,148,150,9.6,172,73,,,,a1834,a1834
