yyyymm,ics_all,ics_a1834,ics_a3554,ics_a5597,ics_w,ics_nc,ics_ne,ics_s,ics_m,ics_f,ics_y13,ics_y23,ics_y33,ics_ehs,ics_esc,ics_ecd,ice_all,ice_a1834,ice_a3554,ice_a5597,ice_w,ice_nc,ice_ne,ice_s,ice_m,ice_f,ice_y13,ice_y23,ice_y33,ice_ehs,ice_esc,ice_ecd,icc_all,icc_a1834,icc_a3554,icc_a5597,icc_w,icc_nc,icc_ne,icc_s,icc_m,icc_f,icc_y13,icc_y23,icc_y33,icc_ehs,icc_esc,icc_ecd
197801,83.7,93.7,86.7,75,83.6,85.5,84.1,81.3,90.2,78.8,,,,80.2,94.2,90.5,75.7,82.3,79.3,68.5,71.4,78.2,76.8,74.4,82.7,70.4,,,,71.9,85.6,84.4,96.2,111.5,98.2,85,102.6,96.7,95.4,92,101.9,91.9,,,,93.3,107.6,100
197802,84.3,99.7,82.3,77.1,94.2,81.9,83.1,81.6,90.2,80,,,,80.9,92.2,91.4,77.2,90.8,73.1,72.6,88.8,72.4,78.1,74.4,83.1,72.8,,,,73.3,86.4,84.3,95.4,113.5,96.5,84.1,102.7,96.8,91,92.8,101.2,91.1,,,,92.7,101.2,102.4
197803,78.8,91.7,76.8,68.8,79.6,76.7,78.7,79.7,86.6,73.8,,,,74.4,84.8,84.8,69.5,79.4,66.6,62.2,73.4,64.3,72,68.2,78,64.1,,,,65.2,75,75.7,93.2,110.9,92.7,79.1,89.3,96,89.1,97.6,100,88.8,,,,88.7,100,98.8
197804,81.6,91.6,79.7,73.9,81.6,80.9,82.5,81.6,86.3,78.4,,,,78.4,84.2,88.6,71.1,78.4,70.9,64.6,70.1,71.6,73.3,69.1,75.8,67.9,,,,68.2,73.7,77.3,98,112.2,93.4,88.5,99.6,95.3,96.8,101.1,102.7,94.7,,,,94.3,100.6,106.2
197805,82.9,95.6,78.9,74.4,86.4,81.5,79.7,84.5,90.1,78.5,,,,79.7,84.3,92.4,73,81.7,69.4,67.6,76.6,72.8,68.9,74,81.5,67.9,,,,70.1,74.6,82.4,98.2,117.2,93.6,85.1,101.6,95.1,96.5,100.7,103.4,94.9,,,,94.6,99.5,107.9
197806,80,91.5,75.7,72.4,85.1,79.6,76.5,79.5,83.4,77.4,,,,76.1,82.4,88.8,68.1,75.3,62.5,65.9,75.7,66.3,65,67.2,71.9,65.3,,,,64.8,68.6,77,98.4,116.9,96.2,82.6,99.6,100.2,94.3,98.5,101.2,96.2,,,,93.8,103.8,107.2
197807,82.4,92.2,78.5,77.3,91,78.2,85.4,78.8,83.5,81.6,,,,81.2,89,79.1,72,78.9,65.7,71.6,79.6,67.4,75,69.1,73.2,70.9,,,,70.2,79.9,68.8,98.7,113,98.6,86.1,108.6,94.9,101.6,93.8,99.6,98.1,,,,98.4,103.2,95.3
197808,78.4,87.9,76.8,69.8,76.2,80.4,78.7,77.6,84.1,73.7,,,,77.4,77.2,83.1,67,74.2,64.1,62.3,67.8,69.3,66.2,65.1,72.8,62.2,,,,66.2,64.3,73.1,96.1,109.2,96.6,81.6,89.2,97.6,98.1,97.1,101.7,91.5,,,,94.9,97.2,98.7
197809,80.4,86.6,84.1,72,85.6,77.8,80.1,80.3,87.3,75.7,,,,78.6,87.4,78.7,69.8,71.4,72.7,66.3,76.6,67.5,69.1,68.5,78.7,63.8,,,,68.1,75.2,68.7,96.9,110.1,101.9,80.7,99.6,93.7,97.2,98.6,100.7,94.4,,,,94.9,106.4,94.2
197810,79.3,90.6,76.7,70.9,77.1,79.9,82.2,78.4,84.9,75.1,,,,76.2,85.8,80.9,71.7,79.7,69.7,65.8,71.7,73.2,75.8,66.9,76.9,67.7,,,,69.2,76.1,73.6,91.2,107.6,87.6,78.7,85.5,90.3,92.1,96.2,97.4,86.7,,,,87.1,100.9,92.3
197811,75,82.5,73.2,69,82.4,73.1,69.6,76.1,82,71.7,,,,75.5,75.2,74.1,62.8,65.9,60.7,61.7,70.2,60.2,57,64.6,70.9,58.8,,,,63,61.7,63,94.1,108.4,92.5,80.4,101.4,93.2,89.4,94,99.2,91.7,,,,95,96.2,91.6
197812,66.1,71.7,63.3,63.6,71.4,65.6,62.1,67.5,69.2,64.4,,,,64.8,67.3,68.5,53.8,56.4,50.4,54.5,60.5,50.8,50,56.2,56.5,52.3,,,,53.7,55,51.2,85.2,95.5,83.5,77.9,88.4,88.7,81,85,88.9,83.2,,,,81.9,86.4,95.5
